cups,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12
6fadd3d6b297,-0.8056108969398896,-2.114695876710378,-1.6020010912020688,2.6136819782129552,3.2548452733833253,-2.654404308493323,-1.1663754547913698,-0.522813858315307,-0.23964223697448966,2.628907039871107,0.6747513207440897,-0.06789075940225722
71d3885d1431,0.5663089273365172,-1.2258993678253385,-0.8342129708022407,0.0047636876762946435,0.28705426089299235,0.7548780458906861,-0.660272756978742,-0.30695635541596744,-1.4032348784163562,-0.2462413446696863,-1.098949946592817,-0.09707292813672304
71d9a9f96bca,-0.2256403479299868,-0.8149214461320576,-0.6247805639120497,0.18969902009285694,0.358261296023498,-0.2863734729233808,-0.5105537814966888,0.7109715190049231,-0.3301514291013127,-0.291699925818889,-0.0921529249922529,-0.03918539167715931
736f2de66813,2.061848880166596,-4.264559328190415,-1.4530822232829068,0.4259509330346308,-0.37918078496278196,-1.5691953771948168,0.279362450781494,1.3260194758808908,-0.17835705445562597,-0.32110234687869155,-0.38713496931360547,0.11821296679189408
7766e16a2d4a,1.2994255402381603,1.3689268655904565,0.4243690469132809,-0.2543882218836852,0.20300921455556814,-0.01591974520134779,-0.14950795983180007,-0.5186453442979249,-1.6275225391845263,-0.44857775023135327,0.7048836739818218,0.705529482013972
78d0d9825060,-3.566440061479158,-0.3557462543111654,0.25223892426428224,-1.054079423256223,-0.07956404714616148,-0.3732273091771884,-0.4491493911924009,-0.6100354243189211,-0.3276009185539996,-0.321369024243742,0.25847644190979363,-0.5224979493234688
7a2e7beb0672,3.9732279560441337,1.7544741671366393,-1.0398872398610437,1.0420337482697817,-0.6995586311871096,1.7751561425641091,0.10133627257026825,0.8894313278602453,1.2464050232236865,0.23357858340404627,1.3238778566919147,-0.6389193722369497
7a6739bd338e,3.2432003285065982,-0.25580234562690435,-1.1452432875774665,0.7188425544016304,-0.34311293565380346,0.26605651653642154,-0.13273022442413177,0.8425700349461506,-0.16779032461262236,-0.04982841884547898,0.20062384298033414,-0.2418879150004191
7bd57f96a653,-4.34080893364492,-0.25294327219762275,0.9694227907151814,-1.7844056612251784,-1.0226865794814575,-0.5518336772108835,-0.45566047013322697,0.24090539781831521,0.19828513618159896,0.6891960640201384,-0.4344120707189698,-0.19488771346091532
7d4cfc37189e,11.028574515867135,-0.8588137772269897,0.5209457647600916,0.6864556275522522,0.9377715820140813,0.05571986592683492,-0.2477485943124112,0.40831587487381255,0.7938974314231965,1.6746559303028634,2.417319419792323,0.38106887365960107
806dc54ccb69,-6.075773677005394,-0.8889866213991863,0.8395925876538797,0.9232224948437625,3.5355352748487414,1.2547663779011073,-0.8477846248910805,-0.20912612490560545,0.8772614800418534,2.2837997350873396,0.20974157144244363,3.8795887640177082
83c7fbada9b4,-0.8279286794585784,1.5641159412022854,-0.6843151909026861,-1.2480341513961968,-2.043020118496536,0.4545914255619483,-0.6089902812763529,-0.3361581475444917,-0.5275776570914148,0.7687289257507126,0.47516342752082236,0.050163664852522494
84736eaf5a9d,4.922105966040161,-2.1939799800664708,-0.46997657134264237,-0.9097093084042728,-1.4855180393998797,-1.6735637905686744,0.7530258331674745,0.6632484150032061,-0.5164607631735644,0.701583386728962,0.5703397534626773,0.5156475131254884
84bc6f535519,17.55266372454621,-5.788471274558888,1.1642638363892794,0.011390818473696773,1.1845864050485322,1.2460913947009333,-0.035011731124920946,-0.9570921994900529,-0.6318122058116254,0.6124680258386034,1.1866925004527533,-0.9836927766616513
8748f2316ba9,8.615889271679691,-0.3847711869355387,0.21494665025106752,-0.30150740639011686,-0.939941846334091,1.5590269006329136,-0.7017265820469062,0.9634724293534296,-0.04813826456978383,0.28105274975357997,0.9187373888573426,-0.8825561790930075
883788a8f885,5.354806608602996,2.1120873643992963,0.35109722319357084,0.7502041798981165,0.5336905001572071,0.4138526332791964,-0.517693195726849,0.8304249711287243,0.013540679765201251,-0.4421282487002682,-0.45311428856501434,-0.17420214532052025
90a0336aae39,-1.0544779672713664,2.318728926179264,-1.413918092397252,1.0482805702529625,-0.3283384911154315,1.3847549263025962,-0.2356143668552289,-0.2739064893250443,-0.611199018981433,-1.5768579659627835,0.06172388202084884,1.8336564656870133
95ee02b21baa,-5.370711993698437,-0.16315953401272734,0.7580673874904462,-0.12165511667854974,0.15560950402965396,0.12543884697784258,-0.28060300075463623,-0.14252817226811995,0.8865766293990176,-0.48062551785160873,-0.004657723074859659,0.6677209135943218
960038979a08,-3.1776622009568682,2.111455215345874,1.0646070340189406,-2.503335279344074,-1.7640343089382797,-1.129835618166227,0.3740662864959979,-0.5731847859099364,-0.6196331935496568,0.7348330641654739,0.5928322990013066,0.611409760135189
99d555540f0d,-7.957655002076885,-1.1873424803198873,2.9317420007815675,-1.6789444821270705,1.801229260236791,1.0432905657826814,-2.965835559357481,0.7680500360476222,3.345067282657301,-1.6891186639260642,1.0547166538961952,0.07989897982705055
9a3b34521cfa,1.6930817075734288,-4.032175564204057,-0.03658515152962638,-0.2879275584647857,1.1329355039409732,-1.9043763525715953,0.2734954869710848,1.4542399713054421,-1.605018744692875,0.47345665164591144,-0.48862673623063285,0.2057044315834397
9c890590d367,-4.279917930206107,-1.3348553079144263,0.6078187801696167,-1.2610668265493212,1.9743302662065059,0.42661300271526686,-1.1656576106332046,-0.16773364027220292,0.5722735518133729,1.2158184896163846,-0.14090354420777315,-0.4368453431548658
9fa8e9422c8d,-0.42853790116119456,2.132775287844889,-1.0212417455176426,0.9029257916950028,-0.5253050303839217,0.02331303584900176,-0.2409062285488872,-0.07874217157029988,-0.09714098632135092,-0.28491068327428853,-0.09699915767245855,0.007268515607723737
a1c7814da365,5.971382888262359,-0.5595101276896719,-0.22287172180430975,0.37468312618808425,0.2504776440909881,0.489491617292355,-0.39891253143719285,0.5199279858250679,-0.8796660535270528,0.1972011199143949,-0.351881849784822,-0.07196282557113347
a3551673db03,-5.115903279820073,-0.044253905399262175,0.5618452613614197,-1.6001710581669881,-0.06016396618351807,0.45716692824912525,0.41642919237400333,0.08943899137389101,0.8021539316705412,-0.4131343345846721,-0.0829334098489328,-0.7126449338075652
